AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Peak CCU,Estimated owners,Rating,LogPrice,PriceTier,TotalReviews,PosRatio,ReleaseDate,ReleaseYear,ReleaseMonth,OwnersNum,LogPeakCCU,CategoryCount,GenreCount,TagCount,MainGenre,Genre_Action,Genre_Adventure,Genre_Animation & Modeling,Genre_Audio Production,Genre_Casual,Genre_Design & Illustration,Genre_Free To Play,Genre_Gore,Genre_Indie,Genre_Massively Multiplayer,Genre_Nudity,Genre_RPG,Genre_Racing,Genre_Sexual Content,Genre_Simulation,Genre_Software Training,Genre_Sports,Genre_Strategy,Genre_Utilities,Genre_Violent,Tier_Free,Tier_Cheap,Tier_Mid,Tier_Premium,Tier_High
1093910,Tales of the Black Forest,"Sep 25, 2019",3.99,12443,277,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing","Adventure,Indie,RPG","RPG,RPGMaker,Pixel Graphics,Adventure,Indie,Horror,Story Rich,Female Protagonist,Anime,Visual Novel,Atmospheric,Singleplayer,Psychological Horror,Puzzle,2D",21,200000 - 500000,0.9782232704402516,1.6074359097634274,Cheap,12720,0.9782232704402516,2019-09-25,2019.0,9.0,350000.0,3.091042453358316,5.0,3.0,15,Adventure,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2330500,BETON BRUTAL,"Mar 31, 2023",6.99,1037,55,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Family Sharing","Casual,Indie","3D Platformer,Precision Platformer,Parkour,Atmospheric,Casual,Exploration,Platformer,Post-apocalyptic,Psychological Horror,3D,Indie,Realistic,Difficult,Nature,Horror,Singleplayer,Linear,Physics,First-Person",14,20000 - 50000,0.9496336996336996,2.0781907597781832,Mid,1092,0.9496336996336996,2023-03-31,2023.0,3.0,35000.0,2.70805020110221,7.0,2.0,19,Casual,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
937310,Infinitode 2 - Infinite Tower Defense,"May 6, 2021",0.0,2971,263,"Single-player,Steam Achievements,In-App Purchases,Steam Cloud,Includes level editor","Indie,Strategy,Free To Play","Level Editor,Tower Defense,Building,Real Time Tactics,PvE,Top-Down,Strategy,2D,Cyberpunk,Free to Play,Relaxing,Minimalist,Casual,Singleplayer,Colorful,Logic,Tactical,Moddable,Mining,Music",434,500000 - 1000000,0.9186765615337044,0.0,Free,3234,0.9186765615337044,2021-05-06,2021.0,5.0,750000.0,6.075346031088684,5.0,3.0,20,Indie,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1254120,Bless Unleashed,"Aug 6, 2021",0.0,16080,14546,"Multi-player,MMO,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases","Action,Free To Play,Massively Multiplayer,RPG","RPG,Free to Play,MMORPG,Open World,Multiplayer,Sexual Content,Action,Massively Multiplayer,Adventure,Action RPG,Third Person,Fantasy,PvE,PvP,Character Customization,Trading,Beautiful,Co-op,Singleplayer,Controller",508,2000000 - 5000000,0.5250440801932998,0.0,Free,30626,0.5250440801932998,2021-08-06,2021.0,8.0,3500000.0,6.2324480165505225,6.0,4.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
241720,Guncraft,"Aug 9, 2013",14.99,579,601,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Family Sharing","Action,Indie","Action,Indie,FPS,Building,Voxel,Multiplayer,Sandbox,Shooter,Co-op,Survival",1,100000 - 200000,0.4906779661016949,2.771963526845863,Mid,1180,0.4906779661016949,2013-08-09,2013.0,8.0,150000.0,0.6931471805599453,11.0,2.0,10,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
648430,Hand of the Gods,"Feb 20, 2018",0.0,736,542,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,In-App Purchases,Family Sharing","Free To Play,Strategy","Free to Play,Card Game,Strategy,Turn-Based Strategy,Tactical,Turn-Based Tactics,Multiplayer,Trading Card Game,Early Access,Mythology",0,200000 - 500000,0.5758998435054773,0.0,Free,1278,0.5758998435054773,2018-02-20,2018.0,2.0,350000.0,0.0,6.0,2.0,10,Free To Play,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
46250,NecroVisioN: Lost Company,"Feb 19, 2010",6.99,406,168,"Single-player,Steam Cloud,Includes level editor,Family Sharing",Action,"Action,Gore,FPS,Violent,World War I,Zombies,Horror,First-Person,Shooter,Fantasy,Alternate History,Multiplayer,Third Person,Driving,War,Sci-fi,Historical,Singleplayer,Real-Time,Short",0,100000 - 200000,0.7073170731707317,2.0781907597781832,Mid,574,0.7073170731707317,2010-02-19,2010.0,2.0,150000.0,0.0,4.0,1.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2152790,UNITED 1944,"Dec 12, 2023",23.99,211,67,"Multi-player,PvP,Online PvP,Family Sharing","Action,Early Access","Early Access,World War II,Survival,FPS,Action,Crafting,Multiplayer,PvP,Base-Building,First-Person,Online Co-Op,Shooter,Building,Co-op,War,Combat,Military,Violent,Massively Multiplayer,Character Customization",0,0 - 20000,0.7589928057553957,3.218475744846861,Premium,278,0.7589928057553957,2023-12-12,2023.0,12.0,10000.0,0.0,4.0,2.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1229880,Koumajou Remilia: Scarlet Symphony,"Jul 27, 2022",29.99,190,93,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing","Action,Adventure,Indie","Action,Adventure,Soundtrack,Side Scroller,Metroidvania,JRPG,Bullet Hell,Exploration,2D,Anime,Cute,Colorful,Pixel Graphics,Story Rich,Female Protagonist,Mystery,Controller,Tutorial,Singleplayer,Indie",1,50000 - 100000,0.6713780918727915,3.433664571799657,Premium,283,0.6713780918727915,2022-07-27,2022.0,7.0,75000.0,0.6931471805599453,4.0,3.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
397040,Sphere 3,"Dec 2, 2015",0.0,245,222,"Multi-player,MMO,Steam Trading Cards,In-App Purchases","Action,Massively Multiplayer,RPG,Free To Play","Free to Play,RPG,Massively Multiplayer,MMORPG,Action,Open World,Multiplayer,PvP,Adventure,Fantasy,FPS,Shooter,War,Horror,Character Customization,Spectacle fighter,CRPG,3D,First-Person,Third Person",8,100000 - 200000,0.5246252676659529,0.0,Free,467,0.5246252676659529,2015-12-02,2015.0,12.0,150000.0,2.1972245773362196,4.0,4.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
231140,Cities XL Platinum,"Feb 6, 2013",9.99,930,676,"Single-player,Steam Cloud,Family Sharing",Simulation,"Simulation,City Builder,Strategy,Sandbox,Management,Singleplayer,Economy,Building,Moddable,Resource Management",10,200000 - 500000,0.5790784557907845,2.3969857684155302,Mid,1606,0.5790784557907845,2013-02-06,2013.0,2.0,350000.0,2.3978952727983707,3.0,1.0,10,Simulation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
351100,Niffelheim,"Sep 26, 2018",19.99,1613,637,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Family Sharing","Action,Adventure,Indie,RPG,Simulation","Mythology,Co-op,RPG,Crafting,Sandbox,2D,Survival,Open World Survival Craft,Base-Building,Online Co-Op,Exploration,Open World,Simulation,Multiplayer,Adventure,Singleplayer,Action,Resource Management,Action RPG,PvP",7,50000 - 100000,0.7168888888888889,3.0440461338325413,Mid,2250,0.7168888888888889,2018-09-26,2018.0,9.0,75000.0,2.0794415416798357,13.0,5.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
