AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Rating
408120,Cibele,"Nov 2, 2015",8.99,645,632,"Single-player,Captions available,Family Sharing",Indie,"Indie,Female Protagonist,Nudity,FMV,Short,Romance,Story Rich,Singleplayer,Walking Simulator,Visual Novel",0.5050900548159749
2604480,City Transport Simulator: Tram,"Jun 20, 2024",29.99,224,131,"Single-player,Steam Achievements,Full controller support,Family Sharing","Simulation,Early Access","Simulation,Driving,Singleplayer,Immersive Sim,Transportation,First-Person,Realistic,Family Friendly,Early Access,Sandbox,Controller,Story Rich,Automobile Sim",0.6309859154929578
263700,Muffin Knight,May 2014,4.99,346,100,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Partial Controller Support,Steam Leaderboards,Family Sharing","Action,Adventure,Casual,Indie","Indie,Action,Adventure,Casual,Platformer,Multiplayer",0.7757847533632287
17570,"Pirates, Vikings, and Knights II","Feb 12, 2010",0.0,5113,707,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Mods,Steam Achievements,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes level editor,Includes Source SDK","Action,Free To Play,Indie","Free to Play,Multiplayer,Medieval,Action,Pirates,Swordplay,Funny,FPS,First-Person,Indie,Hack and Slash,Mod,Historical,Vikings,PvP,Fast-Paced,Singleplayer,Shooter,Massively Multiplayer,Memes",0.8785223367697594
105800,PixelJunk™ Eden,"Feb 2, 2012",9.99,610,161,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Casual,Indie","Indie,Casual,Platformer,Action,Great Soundtrack,Atmospheric,Music,Colorful,Singleplayer,Relaxing,2D,Addictive,Pixel Graphics,Minimalist",0.7911802853437094
1767560,Pro Cycling Manager 2022,"Jun 9, 2022",39.99,572,104,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Family Sharing","Casual,Racing,Sports,Strategy","Simulation,Multiplayer,Sports,Singleplayer,Management,Realistic,Strategy,Family Friendly,Racing,Competitive,Bikes,Cycling,Difficult,Artificial Intelligence,Choices Matter,Team-Based,PvP,Psychological Horror,Sci-fi,Resource Management",0.8461538461538461
1173800,FINAL FANTASY IV,"Sep 8, 2021",17.99,1879,191,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",RPG,"RPG,JRPG,Exploration,Party-Based RPG,2D,Lore-Rich,Turn-Based Combat,Story Rich,Class-Based,Fantasy,Pixel Graphics,Magic,Emotional,Adventure,Singleplayer,Nostalgia,Retro,Remake,Turn-Based",0.9077294685990338
867400,Out of Reach: Treasure Royale,"Oct 14, 2020",14.99,305,224,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Family Sharing","Action,Massively Multiplayer","Battle Royale,Naval Combat,Shooter,Multiplayer,FPS,Pirates,Open World,Team-Based,Action,PvP,Loot,Sailing,Naval,Survival,Destruction,Exploration,First-Person,Tactical,Co-op,Simulation",0.5765595463137996
1518810,Koi Farm,"Feb 26, 2021",2.99,810,40,"Single-player,Steam Cloud,Family Sharing","Casual,Indie,Simulation","Casual,Simulation,Puzzle,Farming Sim,Creature Collector,Sandbox,2.5D,Colorful,Cute,Stylized,Family Friendly,Atmospheric,Nature,Relaxing,Deckbuilding,Procedural Generation,Singleplayer,Tutorial,Indie",0.9529411764705882
812040,Shortest Trip to Earth,"Aug 15, 2019",6.49,1055,314,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing","Action,Adventure,Indie,Simulation,Strategy","Rogue-lite,Space,Strategy,Survival,Sci-fi,Exploration,Resource Management,Difficult,Action Roguelike,Spaceships,Rogue-like,Choices Matter,Simulation,Tactical,Adventure,Aliens,Singleplayer,Replay Value,Space Sim,2D",0.7706355003652301
345580,Universal Combat CE,"Feb 6, 2015",4.99,111,153,"Single-player,Partial Controller Support,Family Sharing","Action,Indie,Simulation,Strategy","Space,Sci-fi,Simulation,Strategy,Action,Indie,Space Sim,Sandbox,Building,Open World,Exploration,Flight,3D,Artificial Intelligence,Futuristic,Combat,Singleplayer,Massively Multiplayer,Multiplayer,Survival",0.42045454545454547
